age,mean,sigma
38.6,4.409963,0.138836
38.7,4.425345,0.138439
38.8,4.441705,0.137238
38.9,4.458231,0.135283
39,4.474748,0.132891
39.1,4.490872,0.130013
39.2,4.50621,0.126754
39.3,4.520839,0.123429
39.4,4.535215,0.120064
39.5,4.548595,0.116916
39.6,4.560757,0.114273
39.7,4.57189,0.112156
39.8,4.581433,0.110664
39.9,4.589606,0.109587
40,4.595715,0.109122
40.1,4.599488,0.109005
40.2,4.60148,0.108974
40.3,4.602031,0.10894
40.4,4.601828,0.108572
40.5,4.600135,0.108104
40.6,4.597098,0.107533
40.7,4.593517,0.106788
40.8,4.589428,0.105986
40.9,4.585723,0.104995
41,4.582831,0.104231
41.1,4.581124,0.1038
41.2,4.580643,0.103662
41.3,4.581829,0.103957
41.4,4.583362,0.104396
41.5,4.586243,0.105132
41.6,4.59052,0.10617
41.7,4.595047,0.107307
41.8,4.598779,0.108668
41.9,4.601853,0.11001
42,4.603167,0.111477
42.1,4.602029,0.112914
42.2,4.598553,0.114255
42.3,4.593483,0.115547
42.4,4.587656,0.116761
42.5,4.580703,0.118081
42.6,4.572765,0.119555
42.7,4.564961,0.121249
42.8,4.556709,0.12306
42.9,4.548196,0.124795
43,4.539094,0.126649
43.1,4.529884,0.128513
43.2,4.520092,0.130028
43.3,4.509888,0.13141
43.4,4.500114,0.132297
43.5,4.491093,0.133119
43.6,4.483343,0.134126
43.7,4.477061,0.135203
43.8,4.47256,0.136347
43.9,4.469268,0.137453
44,4.467404,0.138829
44.1,4.46631,0.140665
44.2,4.4664,0.142765
44.3,4.467484,0.14505
44.4,4.468857,0.147355
44.5,4.471483,0.149589
44.6,4.475166,0.151572
44.7,4.479398,0.153058
44.8,4.484043,0.154166
44.9,4.48842,0.154812
45,4.492647,0.154891
45.1,4.496635,0.154672
45.2,4.500235,0.154122
45.3,4.503344,0.153212
45.4,4.506236,0.152028
45.5,4.507755,0.150711
45.6,4.507802,0.149433
45.7,4.506683,0.148205
45.8,4.504716,0.1469
45.9,4.502283,0.145538
46,4.499495,0.144173
46.1,4.49653,0.142818
46.2,4.493049,0.141671
46.3,4.489365,0.140589
46.4,4.4856,0.139855
46.5,4.481763,0.13971
46.6,4.478084,0.140095
46.7,4.474401,0.141264
46.8,4.47046,0.143116
46.9,4.466193,0.14537
47,4.46144,0.148267
47.1,4.456573,0.151659
47.2,4.451475,0.155309
47.3,4.44609,0.15904
47.4,4.440809,0.162602
47.5,4.436271,0.165792
47.6,4.432872,0.168576
47.7,4.430506,0.170798
47.8,4.429199,0.172397
47.9,4.428664,0.17316
48,4.42957,0.173105
48.1,4.43142,0.172383
48.2,4.434208,0.171026
48.3,4.43758,0.169266
48.4,4.44101,0.167286
48.5,4.444273,0.165372
48.6,4.447119,0.163665
48.7,4.449837,0.162097
48.8,4.452689,0.160697
48.9,4.455746,0.159283
49,4.458911,0.157829
49.1,4.462303,0.156323
49.2,4.465786,0.154738
49.3,4.469615,0.152889
49.4,4.473632,0.150845
49.5,4.477624,0.148698
49.6,4.481121,0.146521
49.7,4.484403,0.144525
49.8,4.48715,0.142769
49.9,4.489658,0.141145
50,4.49158,0.139787
50.1,4.4929,0.138868
50.2,4.49403,0.138198
50.3,4.494699,0.13767
50.4,4.494775,0.13728
50.5,4.494254,0.137159
50.6,4.493422,0.137179
50.7,4.491907,0.137211
50.8,4.489501,0.137339
50.9,4.4869,0.137438
51,4.483827,0.137514
51.1,4.479608,0.137586
51.2,4.474458,0.137531
51.3,4.468759,0.137471
51.4,4.463021,0.13742
51.5,4.456875,0.137323
51.6,4.450403,0.13722
51.7,4.443603,0.136992
51.8,4.436796,0.136817
51.9,4.429798,0.136562
52,4.42271,0.136262
52.1,4.415992,0.135898
52.2,4.409573,0.135439
52.3,4.403288,0.134769
52.4,4.396722,0.133759
52.5,4.390217,0.132639
52.6,4.384197,0.131562
52.7,4.378577,0.130606
52.8,4.373439,0.129861
52.9,4.368562,0.129209
53,4.364103,0.128798
53.1,4.360482,0.128664
53.2,4.357707,0.1286
53.3,4.355699,0.128529
53.4,4.354274,0.128404
53.5,4.353773,0.12843
53.6,4.354123,0.12861
53.7,4.355313,0.128743
53.8,4.357732,0.12875
53.9,4.360754,0.128673
54,4.364277,0.128612
54.1,4.368104,0.128426
54.2,4.371984,0.128193
54.3,4.375756,0.127932
54.4,4.379916,0.127453
54.5,4.384495,0.126888
54.6,4.389029,0.126301
54.7,4.393701,0.125603
54.8,4.398371,0.124785
54.9,4.402892,0.123884
55,4.407557,0.123083
55.1,4.41264,0.122348
55.2,4.417912,0.121762
55.3,4.42329,0.121373
55.4,4.42858,0.120951
55.5,4.433929,0.120569
55.6,4.439098,0.120166
55.7,4.444039,0.11991
55.8,4.448583,0.119798
55.9,4.452813,0.119619
56,4.456032,0.119609
56.1,4.457979,0.119793
56.2,4.458252,0.120078
56.3,4.456939,0.120465
56.4,4.454718,0.120902
56.5,4.451063,0.121558
56.6,4.445785,0.122454
56.7,4.439726,0.12351
56.8,4.432745,0.124669
56.9,4.425301,0.125737
57,4.417157,0.126803
57.1,4.408456,0.127734
57.2,4.399459,0.128652
57.3,4.390301,0.129465
57.4,4.381076,0.130157
57.5,4.372146,0.130974
57.6,4.363973,0.131896
57.7,4.356411,0.132659
57.8,4.349575,0.133431
57.9,4.342984,0.13416
58,4.336557,0.134918
58.1,4.330351,0.135722
58.2,4.324405,0.136605
58.3,4.318532,0.137475
58.4,4.312625,0.138179
58.5,4.307078,0.138874
58.6,4.301947,0.139542
58.7,4.297211,0.140058
58.8,4.292973,0.140473
58.9,4.289514,0.140617
59,4.28767,0.14054
59.1,4.287417,0.140374
59.2,4.288754,0.140168
59.3,4.292033,0.139785
59.4,4.296503,0.139069
59.5,4.302508,0.138208
59.6,4.309616,0.137196
59.7,4.317239,0.136005
59.8,4.325363,0.134656
59.9,4.333552,0.133133
60,4.341792,0.131608
60.1,4.350543,0.130133
60.2,4.359572,0.128565
60.3,4.368746,0.127066
60.4,4.377787,0.125463
60.5,4.386624,0.123925
60.6,4.395156,0.122504
60.7,4.40342,0.121166
60.8,4.410992,0.119888
60.9,4.41845,0.118525
61,4.425764,0.117395
61.1,4.433094,0.116575
61.2,4.440329,0.11592
61.3,4.447636,0.115451
61.4,4.455026,0.114997
61.5,4.462625,0.114908
61.6,4.470256,0.115011
61.7,4.478198,0.115216
61.8,4.486823,0.115643
61.9,4.495496,0.116009
62,4.504424,0.116331
62.1,4.51392,0.116757
62.2,4.523966,0.117203
62.3,4.534699,0.117656
62.4,4.545873,0.117842
62.5,4.557412,0.117706
62.6,4.568808,0.117333
